片名, 票房(万元)
007：无暇赴死,41212.70
12的魔法,7039.61
1917,6889.81
1921,42706.69
1931刺杀宋子文之谜,29.64
1950他们正年轻,1069.63
2019阅兵盛典,2835.27
2024江苏无锡法国电影展,15.63
2067,76.39
21座桥,2859.09
22年后的自白,534.55
318号公路,62.61
36号护卫车,156.17
749局,37605.09
760号犯人,317.55
816,63.92
82号古宅,795.18
99万次拥抱,157.05
9号传奇,28.23
GT赛车：极速狂飙,1278.30
HELLO，北京,10.96
QQ女人心,2.15
X战警：黑凤凰,40137.02
“上海少女”的三十年,6.57
“大”人物,37351.45
“炼”爱,23.08
一丈天地,19.05
一个和四个,472.48
一个母亲的复仇,11113.08
一个秘密,2.22
一些往事,5.00
一代人师严修,8.83
一件棉袄,1.58
一切如你,154.88
一千零一夜之拯救黄金城,58.66
一吻定情,17358.39
一周的朋友,12157.67
一和多,5.50
一团乱麻,1.09
一定拿到手,698.95
一山之隔,106.99
一席之地,1.48
一日成交,73.30
一日父子,1.10
一春,18.68
一条狗的使命2,19625.65
一条狗的回家路,3632.55
一杯上路,8.09
一江春水,220.76
一江清水,19.01
一点就到家,30974.90
一片绿洲,2.08
一生交给党,308.64
一生只为一事来,605.06
一生有你2019,4183.51
一百分女人,5.95
一百零八,3003.21
一直一直都很喜欢你,2199.59
一直游到海水变蓝,673.22
一秒钟,13113.87
一竞到底,53.31
一起走过,31.11
一路向南,25.22
一路情缘,1.56
一路爱情,206.80
一路疯癫,11.74
一车四仆,28.94
一闪一闪亮星星,70050.31
一雪前耻,9380.47
七人乐队,1351.49
七号房的礼物,1701.82
七声,6.25
七月之后,4.11
七月的舞步,211.12
万湖会议,104.35
万物三生,5.97
万里归途,156487.33
三傻闹地球,482.01
三叉戟,2890.60
三只小猪3：正义大联萌,393.12
三块石,6.19
三大队,60460.94
三年,16.97
三流勇士,19.78
三湾改编,2337.74
三贵情史,474.99
三重威胁之跨国大营救,150.59
上海堡垒,12133.13
上海往事之当年情,2.95
上海的女儿,32.15
下一任：前任,12840.04
下一站：幸福,502.81
不一样的九零后,100.00
不一样的夏天,2.00
不二兄弟,72.46
不动声色,29.67
不在远方,9.79
不孤岛,276.09
不完美的幸福,10.04
不想和你有遗憾,1665.35
不曾消失的爱,122.85
不期而遇的夏天,448.16
不欺不遇,13.33
不止不休,4836.56
不死鸟之恋,404.86
不老奇事,3610.53
不能流泪的悲伤,5533.80
不能错过的只有你,5139.49
不虚此行,2697.40
不要先生与好的女士,97.33
不要再见啊，鱼花塘,100.01
不要忘记我爱你,5585.06
不要走散好不好,1626.20
不速来客,5521.21
与你相遇的日子,942.83
与孩子一同成长,14.97
与我跳舞,64.21
与父与子,11.90
与鱼共舞,5.00
丑娃娃,289.03
丑小鸭的天鹅湖,210.53
丑角儿,15.55
世上只有妈妈好,44.65
世上只有爸爸好,1.05
世界上最爱我的人,761.24
世界唯一一个你,5.96
世界欠我一个你,58.58
世间有她,5613.40
丛林历险记,11.15
丛林大冒险,111.86
丛林奇航,4487.71
东北虎,1684.39
东极日出,6.61
东江风云,1.62
丢人,13.11
两个人的山林,24.00
两只老虎,22397.68
两情若是久长时,4.70
个十百千万,204.56
中华熊猫,8.37
中国乒乓之绝地反击,4584.05
中国医生,132370.74
中国机长,284344.96
中国车手周冠宇,98.82
临时乘客,18.10
临时劫案,23645.91
临时家族,1.21
丹顶鹤,105.48
丹顶鹤女孩,2.16
为了明天升起的太阳,5.48
为国而歌,788.16
为家而战,1718.46
乌海,1493.16
乌珠穆沁恋歌,10.10
乌蒙奇缘,23.19
乌衣夜行,10.85
乐高大电影2,1841.20
乔乔的异想世界,1133.40
乔妍的心事,15157.55
乔治娅,15.90
乔西的虎与鱼,679.12
乘客,14.65
乘船而去,149.77
乜代宗师,80.04
九克拉战栗,43.76
九兰,71.28
九妹,553.09
九条命,164.42
九零后,1027.86
九龙不败,1865.49
九龙城寨之围城,60444.65
乡土,66.12
乡见未晚,28.88
书记日记,3.49
乾坤镯,4.77
了不起的夜晚,4462.64
了不起的老爸,14734.44
二凤,63.57
二十二万公里路（蟠龙梆子）,1.16
二哥来了怎么办,3021.88
二手杰作,11543.88
二月泉,5.51
二郎神之深海蛟龙,415.36
云上的云,1084.25
云上的孩子,0.83
云在江口,83.31
云崖飞车,0.72
云淡风轻,28.81
云知道,0.60
云端之上,211.21
云边有个小卖部,49931.99
云雀,3.20
云雾女孩,3.76
云雾笼罩的山峰,1.07
云霄之上,375.02
五个扑水的少年,6106.02
五十米之恋,129.50
五尺天涯,684.71
五彩缤纷,23.04
五月天人生无限公司,4926.22
井冈星火,1097.11
亡命救护车,1582.19
交换人生,39359.00
京剧搜孤救孤,3.37
京北的我们,17.56
京门烽火,3.68
亭亭如盖,5.13
亲密,122.47
亲密旅行,366.13
亲爱的新年好,6243.47
人之怒,15985.16
人民万岁,1669.75
人海同游,70.15
人潮汹涌,76130.52
人生大事,167206.31
人生路不熟,118133.19
人间·喜剧,6322.41
人间世,113.99
今世未了缘,4.14
今夜在浪漫剧场,1230.74
今夜，就算这份爱恋从世界上消失,1664.79
今年二十二,364.24
今年过年就结婚,23.01
从21世纪安全撤离,7564.05
他们已不再变老,318.15
他她他她,40.83
仙女鸟飞过的夏天,13.07
以寡敌众,47.12
以年为单位的恋爱,23199.30
以法之名,1.90
仲肯,162.10
企鹅公路,315.02
伊水栾山,1.56
会考试的猛犸象,37.52
伞少女,1910.36
伟大征程,62.24
传说,4386.45
伴我远行,5.19
似水流年,6.19
何以为家,37351.01
何以飞翔,126.71
何叔衡,36.79
何处生长,15.56
余下都是春天,20.36
余生那些年,2145.97
你咪理，我爱你！,86.04
你在我的世界里,9.90
你好世界,13604.89
你好现任,8.88
你好，李焕英,540314.62
你好，珠峰,5.48
你好，鸽先生,12.66
你就在我身边,300.37
你想活出怎样的人生,79067.35
你是凶手,4890.08
你是我的一束光,512.57
你是我的春天,3058.68
你是我的英雄,1006.13
你是最美,10.02
你猜我是不是英雄,0.71
你的世界如果没有我,3031.36
你的婚礼,78920.77
你的情歌,213.00
你的约定,34.00
使徒行者2：谍影行动,70158.45
侍神令,27404.86
侏罗纪世界3,105458.10
侏罗纪大乐园,144.89
依恋,10.44
侠路相逢,1116.65
侣行攻略之确认你是我的人,14.44
俑之城,6849.13
保你平安,67088.66
保家卫国——抗美援朝光影纪实,1893.36
保持沉默,2144.79
信仰无敌,82.38
信念一生,337.20
信条,45091.40
信者,319.46
俺的傻娘,13.91
倍儿喜欢你,519.08
倒仓,147.19
倒数说爱你,2617.30
候鸟,843.76
假如你很富有,2.00
假如明天来临,1.51
假如爱情欺骗了你,35.57
假如，我是这世上最爱你的人,1452.87
假面饭店,1696.92
偷龙换凤,5.00
傍晚向日葵,375.99
催婚,3.84
催眠·裁决,9658.37
兄弟，请注意,1.93
光,311.37
光之子,38.32
光明使者周维忠,90.50
光语者,37.86
克拉和玛依历险记,19.75
兔子暴力,2660.38
入殓师,6595.69
全员嫌疑人,2173.31
全职高手之巅峰荣耀,8493.35
八佰,286217.17
八十九分之一的凶手,3.50
八十天环游地球,186.97
八子,1587.13
八拍,1.86
八月未央,6788.89
八百矿工上井冈,29.76
八角笼中,178680.94
公主裙,179.47
六人-泰坦尼克上的中国幸存者,375.92
六号银像,36.01
六月夏初,3.87
六月的雪之战犬,5.71
六欲天,123.32
六谷儿,3.35
六连煞,27.30
兰心大剧院,2152.61
兰湖水畔,2.48
共同命运,190.73
关于我妈的一切,14405.23
关机,23.87
兴凯湖畔,6.55
养家之人,618.67
养蜂人,11366.79
再会长江,1012.16
再看我一眼,2.30
再见吧！少年,259.84
再见土拨鼠,563.99
再见汪先森,1024.75
再见，少年,2022.28
再见，李可乐,23415.88
再见，陌生人,43.33
冒牌特工,12.19
冒牌车王,0.67
农民院士,69.94
冠军,111.17
冠军的心,76.05
冥绝村,735.84
冬去冬又来,24.50
冬天没有童话,0.03
冰上时刻,158.29
冰下的鱼,26.14
冰刀里的夏日,1.15
冰山下的守望者,238.95
冰峰暴,1250.77
冰川之恋,1.83
冰建王国,9.95
冰雪与少年,1.49
冰雪大作战2,1201.28
冰雪奇缘2,86034.44
冰雪女王4：魔镜世界,2346.93
冰雪女王5：融冰之战,938.66
冲出地球,999.21
冲撞,4.60
决战中途岛,29273.48
决胜时刻,11869.03
冷血追击,521.15
净地,397.95
凌晨两点半2,683.19
凤鸣飞天,18.52
凯利和超级可乐,56.21
出不去的房间,60.07
出发,584.97
出发！第一书记,13.54
出手吧！女生,37.57
出拳吧，妈妈,395.39
出走的决心,11785.58
出走的马蹄,10.03
出门在外,126.30
刀剑神域进击篇：暮色黄昏,3292.36
刀尖,5046.06
分睡契约,2.66
创客兄弟,8.85
创富二代,1.01
初恋这首情歌,72.02
利刃出鞘,20021.36
利刃破冰,218.93
别叫我“赌神”,4078.72
别告诉她,355.39
别哭！妈妈,3.66
别岁,27.60
刮大风,12.24
到你身边,1.82
刺杀小说家,103511.91
刺猬,14423.11
刺猬索尼克,1990.53
刿心剑,17.97
前任4：英年早婚,101047.29
剩女小爱,426.40
剩女觅爱记,1.95
力量密码,1121.89
功夫乒乓,1.70
功夫四侠：勇闯地宫,126.55
功夫小镇,25.56
功夫熊猫4,28586.78
功夫王之萌虎上山,511.73
功夫营救,1.21
加油吧！乡亲们,48.48
加班惊魂,433.87
加菲猫家族,18500.33
动听的生命,3.12
动物出击,446.86
动物园里有什么？,10803.44
动物特工局,4238.18
劫数难逃,27.26
勇敢者游戏2：再战巅峰,28945.84
包青天之天下第一庄,1.81
北京2022,2025.64
北京屋檐下,1.17
北平会馆,837.46
北极荒原,18.38
北纬25°天空下,10.10
匠心,186.69
匹诺曹,1676.48
医者仁心,18.80
十三行,1.85
十年一品温如言,16725.93
千与千寻,48600.94
千里送鹤,65.83
千顷澄碧的时代,909.98
午夜6号房,483.22
午夜废墟,183.73
午夜怪谈,159.16
午夜迷途,280.73
半个喜剧,18024.34
半个月亮爬上来,3.24
半条棉被,740.73
半条被子,57.93
半边天,69.29
单单,5.71
单声,0.64
南太平洋之旅,13.39
南拳之英雄崛起,12.59
南方南方,3.78
南方车站的聚会,20226.78
南湖女儿,18.24
南溟奇缘之爱情树,0.83
占芭花开,2.06
卡壳,10.11
卡拉斯：为爱而声,80.78
卧鼠藏虫,527.91
卫士,0.88
印度制造,7.98
印度女孩,323.66
印式英语,117.01
印痕,2.96
危机航线,29667.46
危险记忆,123.38
卸甲归来,65.95
原来如此,139.50
厨神驾到,57.17
参娃与天池怪兽之瑞雪兆丰年,22.10
又是一春梨花白,2.01
又是充满希望的一天,18.86
又见奈良,461.96
又见米乐,5.30
友情以上,5119.32
双子杀手,23274.77
双山阻击战,17.66
双水村里枣花香,4.80
双生,1766.33
反恐特战队：清盘行动,106.73
反贪风暴4,79159.92
反贪风暴5：最终章,62575.20
发小儿万岁,146.58
受益人,20607.81
变化中的中国·生活因你而火热,936.00
变形金刚：起源,12983.76
变形金刚：超能勇士崛起,64787.33
变身攻略,2.27
变身特工,10351.51
古井凶灵,534.06
古堡守灵人,117.11
古宅谜案,99.80
古庙迷杀,146.30
古田军号,3964.85
古窑迷踪,95.25
古董局中局,42829.81
古镇疑云,1.05
只属于我们的一天,272.68
只是一次偶然的旅行,112.34
只有芸知道,14875.81
只此青绿,4576.36
只要你过得比我好,454.37
叫我郑先生,117.24
可不可以不要离开我,2026.52
可不可以你也刚好喜欢我,1604.27
叱咤风云,500.00
叶问4：完结篇,117825.13
合法伴侣,1067.77
合群路,1.99
吉祥如意,1315.26
同学们,19.13
名侦探柯南：万圣节的新娘,19567.82
名侦探柯南：百万美元的五棱星,28610.16
名侦探柯南：绀青之拳,23078.01
名侦探柯南：绯色的子弹,21303.32
名侦探柯南：贝克街的亡灵,5654.03
名侦探柯南：黑铁的鱼影,16237.11
向日葵中队,23.73
向爱而生,4.17
向着明亮那方,145.98
向阳花又开,4.85
吕建江,127.04
吴来朝,10.57
吹哨人,5001.63
吾爱敦煌,823.34
呆瓜兄弟,6.75
周军的行走,130.70
周处除三害,64822.47
周恩来与乌兰牧骑,2.57
周恩来回延安,2325.13
周永开,456.03
周立波回清溪,1048.55
周而复死,4.41
呼伦贝尔城,11.20
呼吸,271.95
呼吸的音乐,12.48
命中注定与你为敌,7.38
命运之夜——天之杯II ：迷失之蝶,2953.03
命运之夜——天之杯：恶兆之花,3140.52
咱们村来了贴心人,0.87
哆啦A梦：伴我同行2,27667.05
哆啦A梦：大雄与天空的理想乡,10158.65
哆啦A梦：大雄的地球交响乐,13108.28
哆啦A梦：大雄的宇宙小战争2021,9911.78
哆啦A梦：大雄的新恐龙,6326.07
哆啦A梦：大雄的月球探险记,13134.49
哈尔的移动城堡,16728.05
哈里斯夫人闯巴黎,21.81
哥斯拉2：怪兽之王,91104.38
哥斯拉大战金刚,123045.27
哥斯拉大战金刚2：帝国崛起,95468.45
哥，你好,52177.47
哦！文姬,290.69
哪吒之决战龙神,2.99
哪吒之魔童降世,489870.83
唐人街探案3,451309.66
唐顿庄园,2257.95
唐顿庄园2,1294.30
唢呐客,2.25
唤醒者,479.24
唬胆特工,319.67
善良的天使,23.46
喋血战士,4540.49
喋血羊城,12.77
喜上梅梢,3.44
喜宝,11339.22
喜盈代村,79.24
喜羊羊与灰太狼之守护,8520.93
喜羊羊与灰太狼之筐出未来,14930.89
喜马拉雅之灵,58.11
嗨！神兽,120.87
嘿，蠢贼,6.70
噬魂剑,258.79
噬魂岛,123.85
四个春天,968.12
四季童年,12.50
四年二班,15.28
四月女友,289.66
四海,54288.66
回到过去拥抱你,1972.39
回南天,15.97
回家，扒龙舟,2.55
回廊亭,19804.21
回西藏,77.82
因你而动,51.39
因果报应,5212.34
因爱而伟大,317.66
团圆饭之小小少年,218.06
囧样喜事,40.22
囧男进化论,10.03
困兽,2063.01
困在心绪里的儿子,214.04
困在时间里的父亲,3119.18
围屋喜事,18.27
国礼,517.56
国鼎魂（苏剧）,12.58
图兰朵：魔咒缘起,1889.73
圣山村谜局,445.36
在乎你,775.97
在别处,1.95
地久天长,4036.06
地安门往事,1.88
地火,105.60
地狱男爵：血皇后崛起,8539.40
地球脉动：极境生存,275.07
地瓜味的冰激凌,22.72
坂本龙一：杰作,472.26
坂本龙一：终曲,497.74
坏蛋联盟,33317.20
坚如磐石,134812.89
坚守1200秒,63.81
坠落,2642.26
坠落的审判,2574.64
垛上花,1.18
城南老街新戏,1.24
城市梦,228.08
城市猎人,244.18
堡垒,160.41
境·界,359.09
士兵顺溜：兵王争锋,176.01
复仇者联盟4：终局之战,405873.43
复合吧！前任,467.12
复合大作战,281.68
夏夜骑士,29.62
夏天的烦恼,4.96
夏天的蜗牛,2.76
夏日友晴天,8868.75
夏日心灵,19.95
夏来冬往,20.38
夏目友人帐,11526.75
外太空的莫扎特,22395.03
外来书记,12.51
多力特的奇幻冒险,13594.33
多彩田园,11.57
夜伴歌声,507.97
夜守,276.24
夜幕将至,52.32
大“反”派,5697.32
大事,659.96
大人父母官,6.24
大侦探皮卡丘,63752.88
大侦探霍桑,799.64
大傩·董春女,86.10
大国粮仓,83.00
大圣降妖,216.05
大地颂歌,66.54
大场面,1219.94
大城大楼,2582.39
大大哒,178.07
大头大头下雨不愁,25.42
大学,701.21
大工斩玉,1.49
大微商,81.46
大旅行,82.43
大明监察御史,31.51
大桥小乔,0.96
大梦难忘,1111.76
大河向东流之沁源故事,109.50
大河唱,219.91
大洋追鱼记,23.67
大爱撑天,7.91
大瓦山的笑声,7.10
大白鲨之夺命鲨口,402.66
大突围,532.53
大笑喜剧人,5.00
大红包,23527.07
大约在冬季,22756.57
大耳朵图图之霸王龙在行动,5396.23
大话情圣,34.08
大话西游之成长的烦恼,35.53
大道十年,20.42
大陈岛誓言,14.07
大雨,1719.50
大黄蜂,114120.29
天·火,17039.40
天上再见,244.72
天上的孩子,26.82
天下无伤,5.90
天下无拐,113.64
天下无敌,257.73
天下无毒,74.96
天之书,137.80
天之坑,20.01
天书奇谭4K纪念版,2764.55
天作谜案,916.68
天使陷落,6688.19
天后小助理,25.98
天地之间,60.61
天地辽阔,17.66
天堂玩家,117.20
天堂电影院,1970.51
天堂的张望,25.51
天堂谷大冒险,368.41
天工苏作,21.89
天才计划,1130.94
天气之子,28840.46
天池水怪,8.79
天牢地网,175.67
天眼风云,32.27
天空之城,13505.92
天边加油站,111.62
天道王,2522.39
天降大任,3100.64
太空熊猫英雄诞生,524.41
太空狗之月球大冒险,293.00
太阳升起的时刻,1245.91
失控玩家,61170.23
失而复得,464.52
头脑特工队2,33986.82
夹缝之间,61.28
夺冠,83268.26
夺命杀机,31.87
夺命黄金,268.59
夺宝奇兵：命运转盘,2382.83
夺宝联盟,3.22
奇妙王国之魔法奇缘,1005.00
奇妙萌可大电影,1099.38
奇幻森林之兽语小子,104.75
奇异世界历险记,501.05
奇情快车,920.18
奇迹·笨小孩,137303.65
奇迹小子,21.25
奇迹少女,1600.91
奇迹舞社,67.61
奇霞夺宝录,1.27
奋斗吧中华儿女,456.83
奎迪：英雄再起,1682.10
奔命,1.00
奔腾岁月,14.55
奔跑吧，麋鹿,28.06
奥本海默,44556.09
女人世界,151.57
女王的柯基,1535.45
女生规则,243.54
好东西,52430.00
好像也没那么热血沸腾,16432.10
好好回家,0.81
好小子，好功夫,244.59
好想去你的世界爱你,9555.83
好运来,5334.25
如影随心,2358.90
如果声音不记得,33474.72
如果有一天我将会离开你,415.98
如果爱就表白,8.08
如梦晋阳,348.34
如父如子,255.83
妈妈不再摇滚,67.24
妈妈和七天的时间,29.01
妈妈的礼物,26.75
妈妈的神奇小子,1513.51
妈妈！,7491.59
妈妈，我不想坐牢,3.05
妈妈，我想你,113.05
妈祖回家,32.92
妈阁是座城,5190.17
妖怪手表：永远的朋友,82.49
妙先生,1134.40
始发站,331.28
始石疯暴,0.95
姜子牙,160161.81
姥姥的外孙,12427.61
威尼斯惊魂夜,4370.97
婚事,0.86
婚前72小时,5.04
婚前故事,150.85
嫌疑人之长夜将尽,24.49
孔秀,221.09
孤军,2726.36
孤山,0.47
孤山魅影,116.50
孤星计划,7024.58
孤注一掷,330812.63
孤独的守望者,1.96
学区房72小时,111.54
学爸,61368.05
宇宙护卫队：风暴力量,1976.39
宇宙探索编辑部,6669.20
守岛人,12043.84
守望人,83.77
守望相思树,326.95
守望青春,1452.13
守灵,315.62
守龙者,74.05
安国夫人（京剧）,27.85
安家,15.06
安阳劫,0.56
安魂,2.98
完美受害人,1310.00
完美的日子,248.78
完美音符,178.19
宝可梦：皮卡丘和可可的冒险,5126.03
宝可梦：超梦的逆袭 进化,1618.01
宝莱坞机器人2.0：重生归来,2109.53
宝贝追踪,9.42
宠爱,68292.85
宠物联盟,1103.48
客从何处来,1.42
家和万事惊,3247.26
家园·重返地球之战,229.01
家园梦想,21.34
家有儿女之神犬当家,48.57
家有婆媳,1.00
